"","race_entrant_f_idxs","race_entrant_f_times"
"1207","29",4968
"1208","88",5106
"1209","100",5690
"1210","49",6053
"1211","71",6262
"1212","93",6889
"1213","9",7062
"1214","45",9761
"1215","93",4955
"1216","55",5388
"1217","70",2685
"1218","62",2810
"1219","18",3110
"1220","24",3150
"1221","88",3256
"1222","45",3329
"1223","94",3468
"1224","57",3600
"1225","93",3629
"1226","59",4057
"1227","86",4351
"1228","36",4640
"1229","60",2807
"1230","73",2814
"1231","58",3413
"1232","36",4110
"1233","29",3300
"1234","58",4403
"1235","73",5015
"1236","45",5817
"1237","29",3514
"1238","24",4103
"1239","105",4133
"1240","70",4261
"1241","4",4262
"1242","73",4883
"1243","65",5895
"1244","78",6392
"1245","59",6487
"1246","24",4841
"1247","98",3836
"1248","57",4343
"1249","65",3731
"1250","29",3956
"1251","54",3969
"1252","91",4325
"1253","2",11077
"1254","60",3654
"1255","29",3747
"1256","105",3753
"1257","91",3848
"1258","65",3938
"1259","70",4119
"1260","4",4151
"1261","90",4605
"1262","16",4867
"1263","44",5178
"1264","1",6460
"1265","59",7441
"1266","36",8177
"1267","24",4775
"1268","71",5528
"1269","16",5673
"1270","70",2749
"1271","58",3996
"1272","45",6674
"1273","44",6712
"1274","105",3437
"1275","12",3708
"1276","16",4499
"1277","17",4468
"1278","44",5430
"1279","50",6791
"1280","59",6818
"1281","105",3282
"1282","71",3528
"1283","91",3966
"1284","58",4466
"1285","101",5470
"1286","3",5838
"1287","20",6505
"1288","100",3852
"1289","105",3876
"1290","65",4124
"1291","60",4269
"1292","78",5435
"1293","59",7253
"1294","105",2754
"1295","60",2936
"1296","71",3184
"1297","29",3340
"1298","44",3446
"1299","58",3489
"1300","12",3518
"1301","16",3647
"1302","45",4611
"1303","44",3814
"1304","29",2214
"1305","24",2411
"1306","65",2429
"1307","17",3146
"1308","91",3167
"1309","65",3434
"1310","71",3783
"1311","44",4164
"1312","91",3635
"1313","24",3774
"1314","65",3960
"1315","100",4368
"1316","12",4394
"1317","45",4746
"1318","4",3146
"1319","25",4210
"1320","29",4029
"1321","90",4419
"1322","65",4783
"1323","4",5395
"1324","17",5512
"1325","65",4520
"1326","44",4526
"1327","44",3952
"1328","45",4865
"1329","100",3567
"1330","105",3647
"1331","60",3665
"1332","16",4191
"1333","44",4526
"1334","58",4625
"1335","45",4706
"1336","78",6609
"1337","59",7352
"1338","17",4792
"1339","65",5004
"1340","59",6394
"1341","100",3306
"1342","29",3875
"1343","24",4038
"1344","60",4114
"1345","65",4135
"1346","55",4454
"1347","44",4930
"1348","29",2598
"1349","60",2665
"1350","12",2673
"1351","100",2845
"1352","55",3387
"1353","65",3534
"1354","1",3618
"1355","44",3624
"1356","78",4200
"1357","30",4522
"1358","45",4683
"1359","13",12834
"1360","29",2764
"1361","44",4519
"1362","30",9013
"1363","90",4664
"1364","29",4702
"1365","4",6157
"1366","59",8718
"1367","16",3684
"1368","44",3375
"1369","17",4220
"1370","58",4563
"1371","29",2827
"1372","100",3067
"1373","105",3269
"1374","65",3468
"1375","4",3558
"1376","44",4182
"1377","95",4332
"1378","71",4625
"1379","58",4676
"1380","15",6518
"1381","44",3138
"1382","65",3184
"1383","71",3357
"1384","60",3455
"1385","58",3509
"1386","45",3887
"1387","59",4794
